customer_city,payment_value
sao paulo,2203373.09
rio de janeiro,1161927.36
belo horizonte,421765.12
brasilia,354216.77999999997
curitiba,247392.48
porto alegre,224731.42
salvador,218071.5
campinas,216248.43
guarulhos,165121.99
niteroi,139996.99
goiania,125494.6
sao bernardo do campo,120434.84
fortaleza,119863.47
santos,112343.17
recife,110745.23
florianopolis,106512.16
santo andre,105627.09
belem,96881.76
osasco,94358.72
jundiai,93038.64
sao jose dos campos,91637.75
sorocaba,88337.5
juiz de fora,75830.85
ribeirao preto,75798.71
nova iguacu,71044.83
campo grande,67000.32
sao luis,64499.84
joao pessoa,63353.63
vitoria,62926.26
sao goncalo,61852.97
teresina,60625.46
barueri,59969.68
piracicaba,59774.42
mogi das cruzes,59354.69
contagem,58947.14
uberlandia,57103.35
vila velha,56443.68
londrina,54496.04
sao jose do rio preto,53976.56
maceio,53170.76
maua,48763.63
praia grande,47413.01
cuiaba,47117.159999999996
aracaju,46812.73
bauru,45175.83
maringa,45171.45
caxias do sul,44321.35
natal,43606.49
serra,42965.77
indaiatuba,42055.8
taboao da serra,41237.53
joinville,41030.38
duque de caxias,40276.37
campos dos goytacazes,40212.11
petropolis,39807.7
volta redonda,39114.51
divinopolis,38970.08
macae,38751.06
carapicuiba,37641.46
marilia,37493.97
santa maria,37336.83
sao caetano do sul,36936.64
cotia,36095.5
taubate,35299.0
sao carlos,35271.18
betim,34507.0
diadema,34301.2
guaruja,33837.55
uberaba,33426.95
feira de santana,32466.8
canoas,32014.76
nova friburgo,31738.41
montes claros,31546.54
presidente prudente,29988.07
blumenau,29278.17
porto velho,29253.63
suzano,29181.65
americana,28948.54
cascavel,28904.35
pelotas,27619.14
limeira,27236.59
santana de parnaiba,26814.8
ipatinga,26176.78
manaus,25913.57
franca,25896.09
jaboatao dos guararapes,25672.86
valinhos,25660.62
sumare,25162.78
sao jose,24581.31
governador valadares,24444.19
palmas,24281.2
pouso alegre,24195.41
atibaia,24181.1
sao vicente,24119.81
rio das ostras,23941.41
rio claro,23714.079999999998
embu das artes,23321.16
barra mansa,23302.02
nova lima,23287.83
araraquara,23223.69
novo hamburgo,23086.84
braganca paulista,22916.41
campina grande,22783.29
ponta grossa,22282.28
sao joao de meriti,22184.56
itajai,22135.56
itaquaquecetuba,22052.57
gravatai,21719.36
jacarei,21660.84
angra dos reis,21654.73
ananindeua,21236.85
itapevi,21190.41
cariacica,20750.88
sete lagoas,20704.5
teresopolis,20358.31
pocos de caldas,20316.2
cabo frio,20223.760000000002
anapolis,20165.89
vitoria da conquista,19921.4
aracatuba,19704.66
rio grande,19578.41
balneario camboriu,19408.89
patos de minas,19349.55
cachoeiro de itapemirim,19231.25
araruama,19196.05
botucatu,19053.07
paulinia,18892.76
marica,18870.87
vicosa,18792.34
mage,18762.55
hortolandia,18748.57
passo fundo,18163.87
sao jose dos pinhais,17946.239999999998
criciuma,17934.61
chapeco,17750.73
ferraz de vasconcelos,17635.78
rio branco,17137.64
guaratingueta,17042.43
aparecida de goiania,16992.24
petrolina,16959.22
birigui,16694.84
belford roxo,16556.0
ourinhos,16507.83
itajuba,16505.2
resende,16496.72
varginha,16340.99
nilopolis,16117.68
itu,16113.28
caraguatatuba,15757.32
olinda,15650.04
